candidate_id,tag_name,category,llm_confidence,llm_justification,llm_definition,chunk_summary,chunk_text,document_title,doc_summary,document_ref,evidence_snippets,candidate_sources,notes_for_reviewer
C-0001,GKE Cluster Operations,Compute/Kubernetes,0.88,"Chunk describes node pools, autoscaling, and rolling upgrades for GKE clusters.","Operational practices for running Google Kubernetes Engine clusters (upgrades, autoscaling, node pools).",Guidance on upgrading GKE clusters and configuring node pool autoscaling.,"To upgrade a GKE cluster, first upgrade control plane, then node pools. Use surge upgrades to reduce downtime. Configure cluster autoscaler to add/remove nodes based on pending pods...",GKE Runbook: Upgrades & Autoscaling,"Internal runbook for maintaining GKE clusters including upgrades, autoscaling, and health checks.",DOC-GCP-001,upgrade control plane; node pools; cluster autoscaler,llm_extractor_v1,Is this tag specific enough vs just 'Kubernetes'?
C-0002,AKS Networking,Networking,0.82,"Mentions Azure CNI, pod IP allocation, and private cluster endpoints.",Networking configuration and connectivity patterns for Azure Kubernetes Service.,Explains Azure CNI vs kubenet and private AKS cluster considerations.,"AKS supports Azure CNI for assigning pod IPs from the VNet. For private clusters, API server is exposed via private endpoint. Consider outbound type and NAT Gateway...",AKS Design Notes: CNI & Private Clusters,"Architecture notes for AKS networking choices, including private endpoints and outbound connectivity.",DOC-AZ-014,Azure CNI; private endpoint; NAT Gateway,llm_extractor_v1,Confirm relevance to the document scope.
C-0003,IAM vs RBAC,Identity & Access,0.9,Compares GCP IAM roles/bindings with Azure RBAC assignments and scope inheritance.,Comparison of access control models: GCP IAM (bindings/roles) and Azure RBAC (role assignments/scopes).,Side-by-side mapping of permissions management in GCP and Azure.,"In GCP, IAM bindings attach roles to members on a resource. In Azure, RBAC assigns roles at subscription/resource group/resource scope with inheritance. Map least-privilege patterns across clouds...",Cross-Cloud Access Control Mapping,Reference doc for aligning authorization controls across GCP and Azure.,DOC-XC-003,IAM bindings; RBAC scope inheritance; least privilege,llm_extractor_v1,Good tag or too broad?
C-0004,Cloud Run Jobs,Serverless/Compute,0.79,Describes Cloud Run Jobs for batch execution and cron triggering via Cloud Scheduler.,GCP serverless container execution for batch-style jobs (Cloud Run Jobs).,How to run scheduled batch workloads with Cloud Run Jobs.,Use Cloud Run Jobs for containerized batch tasks. Trigger with Cloud Scheduler via HTTP. Configure retries and task parallelism. Store outputs in Cloud Storage...,Batch Processing on GCP,Guide for implementing batch jobs on GCP using Cloud Run Jobs and Scheduler.,DOC-GCP-021,Cloud Run Jobs; Cloud Scheduler; retries,llm_extractor_v1,Looks solid.
C-0005,Azure App Service,Serverless/Compute,0.73,"Mentions deployment slots, scaling plans, and App Service authentication.","Azure PaaS web hosting (App Service) including deployment, scaling, and auth options.",Operational notes for App Service deployments and scaling.,Use deployment slots for safe rollouts. Configure autoscale rules based on CPU and HTTP queue length. Use App Service Authentication/Authorization with Entra ID...,Web Hosting Standards (Azure),Standards for hosting web APIs on Azure App Service.,DOC-AZ-006,deployment slots; autoscale rules; Entra ID,llm_extractor_v1,Better as 'PaaS Web Hosting'?
C-0006,Pub/Sub Messaging,Messaging,0.84,"Explains topics, subscriptions, ack deadlines, and at-least-once delivery in Pub/Sub.",GCP asynchronous messaging service (Pub/Sub) concepts and operational settings.,Key Pub/Sub reliability and subscription settings.,Pub/Sub delivers messages at-least-once. Configure ack deadlines and dead-letter topics. Use push subscriptions for HTTP endpoints or pull for worker services...,Eventing Patterns on GCP,Patterns for event-driven architectures using Pub/Sub and downstream consumers.,DOC-GCP-011,ack deadline; dead-letter topic; at-least-once,llm_extractor_v1,Good tag.
C-0007,Service Bus Queues,Messaging,0.81,"Covers Azure Service Bus queues, sessions, and retry/dead-letter behavior.","Azure messaging broker for queues and topics (Service Bus), including DLQ and sessions.",Queue semantics and DLQ operations for Service Bus.,Use Service Bus for durable messaging. Enable sessions for ordered processing. Configure max delivery count before moving to dead-letter queue. Handle lock renewal for long processing...,Azure Messaging Standards,Guidance for using Azure Service Bus safely and consistently.,DOC-AZ-031,sessions; dead-letter queue; lock renewal,llm_extractor_v1,OK.
C-0008,BigQuery Cost Optimization,Data/Analytics,0.77,"Mentions partitioning, clustering, and avoiding SELECT * to reduce scanned bytes.","Techniques to reduce BigQuery spend (partitioning, clustering, selective columns).",Tips to optimize BigQuery queries and storage.,Partition tables by ingestion time or date columns. Use clustering for common filters. Avoid SELECT * and limit scanned bytes. Use reservations for predictable workloads...,BigQuery Optimization Playbook,Best practices for managing BigQuery performance and cost.,DOC-GCP-033,partitioning; clustering; avoid SELECT *,llm_extractor_v1,May overlap with general 'Cost Optimization'.
C-0009,Azure Synapse,Data/Analytics,0.69,"Discusses Synapse dedicated SQL pool and Spark integration, but only briefly.",Azure analytics platform combining data warehousing and big data processing (Synapse).,Brief mention of Synapse options for warehousing and Spark.,"For large-scale analytics, consider Azure Synapse. Dedicated SQL pools support MPP. Synapse Spark can process lake data and feed curated tables...",Data Platform Options (Azure/GCP),Survey of analytics services across Azure and GCP.,DOC-XC-019,dedicated SQL pool; Synapse Spark; MPP,llm_extractor_v1,Borderline—might be too shallow in this doc.
C-0010,GPU Scheduling on Kubernetes,Compute/Kubernetes,0.41,Text mentions GPUs once but doesn’t describe scheduling or device plugins.,"Kubernetes patterns for allocating GPUs (node selectors, device plugins, scheduling constraints).",Single reference to GPU-enabled nodes.,Some workloads may require GPU nodes for acceleration. Ensure the cluster supports the required instance types...,General Compute Guidance,High-level compute guidance; mostly focuses on CPU workloads.,DOC-GEN-002,GPU nodes,llm_extractor_v1,Intentionally weak example — likely TAG_BAD.
